age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
58,Male,Married,High School,22900.0,Private,5.0,Large Indian,Rented,3800.0,5,4,0.0,0.0,2300.0,4900.0,2000.0,No,0.0,727.0,182800.0,98900.0,Home Appliances EMI,118000.0,13,Not_Eligible,5445.0
32.0,Male,Married,Professional,30000.0,Government,3.0,Mid-size,Rented,7100.0,3,2,0.0,0.0,1900.0,5100.0,5600.0,No,0.0,674.0,86800.0,41600.0,Personal Loan EMI,311000.0,20,Not_Eligible,5665.0
58.0,Female,Married,High School,23100.0,Private,19.9,Startup,Own,0.0,2,1,0.0,18700.0,1800.0,6300.0,1500.0,No,0.0,606.0,22100.0,6400.0,Vehicle EMI,984000.0,17,Not_Eligible,500.0
38.0,Female,Married,Graduate,32700.0,Government,3.9,Startup,Rented,7300.0,3,2,0.0,0.0,2300.0,5500.0,4800.0,No,0.0,643.0,252100.0,114000.0,E-commerce Shopping EMI,148000.0,7,Not_Eligible,6195.2
48.0,Female,Married,Graduate,53200.0,Government,4.4,MNC,Family,0.0,5,4,7000.0,0.0,4400.0,14900.0,3600.0,Yes,15500.0,850.0,331200.0,87500.0,E-commerce Shopping EMI,178000.0,20,Not_Eligible,3963.96
38,Male,Married,High School,48500.0,Self-employed,0.5,MNC,Own,0.0,2,1,13200.0,0.0,5000.0,10300.0,2600.0,Yes,13800.0,650.0,136600.0,47700.0,E-commerce Shopping EMI,73000.0,22,Not_Eligible,1134.0
38,Male,Married,Graduate,78200.0,Private,2.2,MNC,Family,0.0,5,4,10400.0,0.0,8800.0,11900.0,6900.0,No,0.0,604.0,346800.0,124400.0,E-commerce Shopping EMI,18000.0,10,Eligible,16080.0
38.0,Female,Married,Post Graduate,55400.0,Private,3.7,Mid-size,Family,0.0,3,2,0.0,21600.0,4600.0,8700.0,5200.0,No,0.0,685.0,126700.0,73500.0,Vehicle EMI,180000.0,35,Eligible,7650.0
48.0,Male,Married,Professional,144000.0,Private,8.1,MNC,Family,0.0,4,3,0.0,20400.0,10500.0,31900.0,20200.0,No,0.0,693.0,251100.0,126700.0,Personal Loan EMI,987000.0,39,Not_Eligible,24400.0
27.0,Female,Single,Graduate,31800.0,Government,0.8,Startup,Family,0.0,1,0,0.0,0.0,3200.0,6300.0,4400.0,No,0.0,750.0,235400.0,51200.0,Personal Loan EMI,673000.0,34,Not_Eligible,11814.0
38,Male,Married,Post Graduate,62100.0,Self-employed,4.9,Large Indian,Rented,10200.0,5,4,3900.0,15000.0,4900.0,10400.0,3200.0,No,0.0,736.0,424500.0,135500.0,E-commerce Shopping EMI,139000.0,24,High_Risk,7177.5
32.0,Female,Married,Post Graduate,19500.0,Private,0.5,Mid-size,Own,0.0,4,3,5200.0,0.0,1400.0,4400.0,3300.0,Yes,3700.0,526.0,51500.0,11700.0,Education EMI,240000.0,6,Not_Eligible,500.0
48.0,Female,Married,Professional,133500.0,Private,4.5,Large Indian,Rented,25000.0,2,1,0.0,0.0,14100.0,30900.0,24000.0,Yes,32100.0,630.0,378800.0,80100.0,Vehicle EMI,1498000.0,48,Not_Eligible,2072.0
48.0,Male,Married,Professional,49300.0,Government,0.6,Large Indian,Family,0.0,5,4,5200.0,0.0,7100.0,13200.0,6300.0,No,0.0,724.0,293700.0,101300.0,E-commerce Shopping EMI,140000.0,8,Not_Eligible,8750.0
48.0,Female,Married,Graduate,34500.0,Private,8.6,MNC,Family,0.0,3,2,0.0,6000.0,4300.0,7900.0,4200.0,No,0.0,758.0,95500.0,44200.0,Vehicle EMI,159000.0,79,Eligible,7260.0
27.0,Male,Married,Post Graduate,57400.0,Self-employed,0.5,Mid-size,Own,0.0,3,2,0.0,14300.0,6200.0,17200.0,10900.0,No,0.0,771.0,352300.0,113700.0,Personal Loan EMI,149000.0,52,Eligible,5227.2
32,Male,Married,Post Graduate,130100.0,Private,2.6,Large Indian,Family,0.0,3,2,5300.0,23200.0,10700.0,28100.0,17900.0,No,0.0,719.0,125600.0,60400.0,Education EMI,410000.0,10,Not_Eligible,17960.0
38.0,Female,Married,Graduate,99600.0,Private,1.3,MNC,Own,0.0,2,1,0.0,0.0,7700.0,26700.0,11100.0,Yes,23700.0,637.0,107700.0,33700.0,Vehicle EMI,87000.0,70,Eligible,6809.6
58.0,Male,Married,Graduate,21400.0,Private,1.5,Mid-size,Family,0.0,3,2,8800.0,0.0,2500.0,5400.0,4200.0,Yes,5800.0,714.0,51500.0,22700.0,Education EMI,256000.0,21,Not_Eligible,500.0
48,Male,Married,Post Graduate,38800.0,Private,9.3,Mid-size,Family,0.0,5,4,3500.0,0.0,4400.0,9700.0,4100.0,No,0.0,808.0,297600.0,95500.0,E-commerce Shopping EMI,90000.0,19,Eligible,11286.0
27,Male,Single,Graduate,20000.0,Government,1.6,Large Indian,Family,0.0,1,0,0.0,0.0,1500.0,3400.0,3400.0,No,0.0,693.0,98100.0,27100.0,Education EMI,389000.0,28,Not_Eligible,5850.0
38.0,Male,Married,Professional,97200.0,Self-employed,4.0,Large Indian,Family,0.0,3,2,0.0,0.0,11000.0,14600.0,12400.0,Yes,28400.0,724.0,343600.0,187400.0,Education EMI,297000.0,33,Not_Eligible,9702.0
58.0,Male,Married,Graduate,23200.0,Private,3.6,Startup,Own,0.0,3,2,14700.0,0.0,2100.0,4200.0,4400.0,No,0.0,592.0,176800.0,72900.0,Home Appliances EMI,207000.0,30,Not_Eligible,500.0
38.0,Male,Single,Professional,43800.0,Private,3.5,Large Indian,Family,0.0,2,1,10800.0,0.0,4700.0,9700.0,3800.0,Yes,11400.0,660.0,119500.0,37200.0,Home Appliances EMI,31000.0,33,High_Risk,1190.0
32.0,Female,Married,Professional,70800.0,Government,9.8,Large Indian,Rented,10700.0,5,4,3600.0,0.0,5200.0,16300.0,5100.0,No,0.0,744.0,183100.0,69100.0,Home Appliances EMI,115000.0,22,Eligible,16445.0
38.0,Female,Married,Graduate,37800.0,Private,6.8,Large Indian,Own,0.0,4,3,0.0,22100.0,3500.0,9600.0,5900.0,No,0.0,743.0,247600.0,103800.0,Personal Loan EMI,286000.0,39,Not_Eligible,500.0
38,Female,Married,Post Graduate,79100.0,Private,7.7,Small,Rented,23500.0,5,4,5600.0,0.0,6200.0,13200.0,13900.0,No,0.0,673.0,446200.0,243300.0,E-commerce Shopping EMI,136000.0,12,Not_Eligible,8350.0
48.0,Male,Married,High School,49800.0,Private,9.8,Large Indian,Family,0.0,5,4,0.0,12400.0,6100.0,11900.0,5100.0,No,0.0,738.0,111400.0,26100.0,Home Appliances EMI,272000.0,16,Not_Eligible,7150.0
38.0,Male,Married,Professional,74700.0,Private,10.5,Startup,Own,0.0,4,3,13100.0,15400.0,5600.0,17000.0,8600.0,No,0.0,819.0,159700.0,74100.0,Personal Loan EMI,546000.0,18,Not_Eligible,9000.0
32.0,Male,Married,Graduate,66900.0,Private,5.0,Small,Family,0.0,3,2,11600.0,5100.0,4700.0,13000.0,7900.0,No,0.0,708.0,502400.0,289100.0,E-commerce Shopping EMI,19000.0,14,Eligible,13530.0
32.0,Female,Single,Graduate,27100.0,Private,5.1,Startup,Rented,8400.0,2,1,10000.0,20100.0,3200.0,6900.0,3500.0,Yes,7800.0,657.0,71100.0,30000.0,Vehicle EMI,1256000.0,16,Not_Eligible,500.0
32.0,Male,Married,Graduate,31600.0,Self-employed,1.4,Startup,Rented,5400.0,3,2,0.0,0.0,4600.0,8000.0,3200.0,No,0.0,696.0,190400.0,90800.0,Personal Loan EMI,938000.0,56,Not_Eligible,5148.0
27.0,Female,Single,Graduate,58100.0,Private,2.2,MNC,Rented,18900.0,3,2,0.0,0.0,7600.0,13900.0,4000.0,No,0.0,727.0,50300.0,19100.0,Personal Loan EMI,724000.0,60,Not_Eligible,5480.0
48,Male,Married,Professional,78400.0,Private,6.5,Small,Rented,19600.0,3,2,4400.0,0.0,6200.0,20500.0,8600.0,No,0.0,665.0,193700.0,47700.0,E-commerce Shopping EMI,187000.0,11,Not_Eligible,9550.0
32.0,Male,Married,Graduate,24400.0,Private,3.7,MNC,Family,0.0,3,2,0.0,0.0,1900.0,5200.0,3700.0,No,0.0,732.0,105300.0,26500.0,Vehicle EMI,158000.0,76,Eligible,6800.0
38.0,Male,Married,Post Graduate,97200.0,Private,1.8,Small,Rented,17500.0,3,2,0.0,16100.0,7500.0,22600.0,13400.0,No,0.0,724.0,65400.0,15500.0,Personal Loan EMI,672000.0,31,Not_Eligible,8040.0
32,Male,Married,High School,17900.0,Government,4.6,Startup,Own,0.0,4,3,7400.0,0.0,1000.0,3500.0,1600.0,Yes,2200.0,676.0,62300.0,18900.0,Personal Loan EMI,195000.0,54,Not_Eligible,847.0
32.0,Female,Married,Graduate,19700.0,Self-employed,8.9,Mid-size,Family,0.0,2,1,0.0,13200.0,1900.0,5700.0,2200.0,No,0.0,691.0,115800.0,49600.0,E-commerce Shopping EMI,95000.0,16,Not_Eligible,500.0
58,Male,Married,Professional,62100.0,Private,17.0,MNC,Own,0.0,3,2,11900.0,0.0,6100.0,14100.0,3600.0,No,0.0,827.0,254300.0,134300.0,Vehicle EMI,430000.0,54,Eligible,15840.0
38,Male,Married,Graduate,63800.0,Private,8.5,Mid-size,Rented,19500.0,4,3,9800.0,15000.0,7700.0,11900.0,6700.0,No,0.0,638.0,307900.0,97300.0,Personal Loan EMI,966000.0,28,Not_Eligible,500.0
48.0,Male,Married,High School,41100.0,Private,1.8,Large Indian,Own,0.0,5,4,0.0,24000.0,4600.0,11700.0,4000.0,No,0.0,629.0,82100.0,38700.0,Personal Loan EMI,155000.0,44,Not_Eligible,500.0
38,Male,Married,Graduate,43500.0,Private,0.5,Startup,Rented,8300.0,4,3,0.0,0.0,3900.0,8600.0,5500.0,No,0.0,721.0,27500.0,11000.0,Home Appliances EMI,227000.0,30,Not_Eligible,5504.0
27.0,Female,Single,Professional,70800.0,Government,2.2,Small,Own,0.0,3,2,5000.0,0.0,4700.0,16000.0,11600.0,No,0.0,668.0,434100.0,167700.0,Vehicle EMI,794000.0,56,High_Risk,18425.0
32.0,Male,Married,Graduate,80500.0,Government,1.8,MNC,Family,0.0,2,1,5900.0,0.0,6600.0,15000.0,11200.0,No,0.0,828.0,398200.0,96100.0,Vehicle EMI,442000.0,41,Eligible,25080.0
58.0,Male,Married,High School,33100.0,Private,22.5,MNC,Family,0.0,2,1,0.0,0.0,4500.0,9300.0,3000.0,No,0.0,647.0,151700.0,47400.0,E-commerce Shopping EMI,177000.0,16,Not_Eligible,6520.0
32.0,Male,Married,High School,31800.0,Government,6.8,Mid-size,Family,0.0,3,2,4600.0,0.0,3700.0,7300.0,2200.0,Yes,6000.0,705.0,223700.0,,Education EMI,95000.0,24,Not_Eligible,3388.0
48,Female,Married,High School,50300.0,Private,6.3,MNC,Rented,9800.0,5,4,7500.0,7800.0,5400.0,9000.0,9800.0,Yes,9000.0,578.0,225500.0,122200.0,Home Appliances EMI,145000.0,7,Not_Eligible,500.0
48,Male,Married,Graduate,18000.0,Private,15.8,Startup,Family,0.0,3,2,0.0,0.0,1300.0,4900.0,2700.0,Yes,2000.0,711.0,63900.0,36200.0,Home Appliances EMI,44000.0,14,Not_Eligible,2485.0
